n,test_used,statistic,p_value,mean_before,mean_after,mean_diff,std_diff,effect_size_dz,normality_p,metric,p_value_fdr_bh,significant_fdr_0_05
9,wilcoxon,1.0,0.0078125,0.9569888888888889,0.9257444444444446,-0.031244444444444422,0.037819872789021644,-0.8261382744130769,0.01934691268089978,RVPA,0.197265625,False
9,wilcoxon,1.0,0.0078125,0.8312666666666666,0.7098888888888889,-0.1213777777777778,0.1478711836175137,-0.8208345588937449,0.021175089636779144,RVPPH,0.197265625,False
9,wilcoxon,1.0,0.0078125,44.888888888888886,38.333333333333336,-6.555555555555555,7.986099033807292,-0.8208708066108542,0.021163974644852365,RVPTH,0.197265625,False
9,wilcoxon,1.0,0.0078125,9.11111111111111,15.666666666666666,6.555555555555555,7.986099033807292,0.8208708066108542,0.021163974644852118,RVPTM,0.197265625,False
10,wilcoxon,4.0,0.013671875,37.78215,58.21019,20.428040000000003,26.863611970065055,0.7604353436449124,0.01997211121746447,RTIFRTSD,0.276171875,False
10,paired_t_test,2.7903667975526028,0.021041226243164526,247.27952999999997,291.86224000000004,44.58271,50.524865758300955,0.8823914587576179,0.07258925430205238,RTIFMMT,0.35419397509326955,False
10,paired_t_test,2.625592701512053,0.027557068380383208,244.3,286.65,42.35,51.006562758574944,0.8302853144692709,0.22475899251414083,RTIFMDMT,0.3976091294883863,False
10,paired_t_test,2.5063039246328067,0.033513383945112905,341.19953999999996,378.46243,37.26289,47.01568849738586,0.7925628910458659,0.4313776492374586,RTIFMRT,0.42310647230705045,False
10,paired_t_test,2.329662081712401,0.04477189344496788,333.7,367.35,33.65,45.67642839705301,0.7367038356740488,0.4935873345957106,RTIFMDRT,0.49618437203108046,False
10,paired_t_test,2.194424769366325,0.05584595634138728,33.54375,48.39172000000001,14.84797,21.39667966079732,0.6939380425087277,0.06954120291612215,RTIFMTSD,0.49618437203108046,False
10,wilcoxon,0.0,0.0625,94.0,80.0,-14.0,16.46545204697129,-0.8502651466878619,0.008499773374645107,DMSPC12,0.49618437203108046,False
10,wilcoxon,0.0,0.0625,4.7,4.0,-0.7,0.8232726023485646,-0.8502651466878618,0.008499773374645107,DMSTC12,0.49618437203108046,False
10,paired_t_test,2.1119684081881407,0.06386531521192125,1.04,1.105,0.06499999999999999,0.09732534213770955,0.667863051619473,0.4996978282526104,DMSCC,0.49618437203108046,False
10,paired_t_test,-1.8906427492962217,0.09124249591152503,2491.6,2187.2,-304.4,509.13760418967286,-0.5978737329458768,0.5927085413310614,DMSMDL0,0.5084491798100501,False
8,paired_t_test,1.9379255804998177,0.09382115380277015,3.375,6.625,3.25,4.743416490252569,0.6851601597031488,0.4054467278246305,PALTE,0.5084491798100501,False
10,paired_t_test,1.8598785318969178,0.09583193239152869,2783.8983300000004,3495.125,711.2266700000002,1209.2704826067657,0.5881452332044387,0.15329888429898636,DMSML12,0.5084491798100501,False
10,paired_t_test,-1.7842102212287423,0.10805524234601956,96.0,91.5,-4.5,7.975657409336932,-0.5642168123635735,0.06107554939358317,DMSPC,0.5084491798100501,False
10,paired_t_test,-1.7842102212287423,0.10805524234601956,19.2,18.3,-0.9,1.5951314818673865,-0.5642168123635735,0.06107554939358317,DMSTC,0.5084491798100501,False
