metric,n,test_used,mean_before,mean_after,mean_diff,effect_size_dz,p_value,p_value_fdr_bh,significant_fdr_0_05
SWMBE,8,paired_t_test,0.625,1.25,0.625,0.18274831480723838,0.6211581015590995,1.0,False
RTIFTES,10,wilcoxon,0.3,0.5,0.2,0.31622776601683794,0.625,1.0,False
MOTML,10,paired_t_test,727.99,717.61,-10.380000000000019,-0.13168772477024296,0.6868487555158099,1.0,False
DMSLADSD,10,paired_t_test,1074.6641200000001,1169.65752,94.99340000000004,0.13063916568934916,0.6891896224913814,1.0,False
PALTEA8,10,paired_t_test,4.3,4.8,0.5,0.1303116728289208,0.6899214555798483,1.0,False
PALTE6,10,wilcoxon,1.6,0.7,-0.9,-0.2089948554643038,0.75,1.0,False
PALTEA6,10,wilcoxon,1.6,0.7,-0.9,-0.2089948554643038,0.75,1.0,False
SWMS6,10,wilcoxon,1.8,1.9,0.1,0.05396870722208658,0.75,1.0,False
DMSMDL,10,wilcoxon,2440.95,2422.4,-18.55,-0.0443681061501166,0.76953125,1.0,False
DMSMLAD,10,wilcoxon,2795.9013600000003,2809.16277,13.261410000000023,0.021179425142571224,0.76953125,1.0,False
DMSL0SD,10,paired_t_test,797.9811599999999,860.9667299999999,62.98557000000002,0.09182734800054518,0.7781026729899458,1.0,False
SWMTE,8,paired_t_test,0.875,1.25,0.375,0.09734749249995545,0.7910051864396367,1.0,False
DMSMDLAD,10,paired_t_test,2562.85,2526.6,-36.25,-0.07882020896766707,0.8087616450879975,1.0,False
SWMBE8,10,paired_t_test,2.0,1.7,-0.3,-0.07395456385641413,0.8203228697892484,1.0,False
SWMTE8,10,paired_t_test,2.2,1.9,-0.3,-0.06299716519134813,0.8465229045742406,1.0,False
DMSML,10,paired_t_test,2703.16295,2721.55231,18.389360000000078,0.03360745425741492,0.9176944460063864,1.0,False
PALTEA,8,paired_t_test,6.875,6.625,-0.25,-0.03268602252303067,0.9289307328831946,1.0,False
DMSL12SD,10,wilcoxon,1007.45234,1215.67044,208.2181,0.19554656714178972,1.0,1.0,False
DMSPC0,10,wilcoxon,92.0,92.0,0.0,0.0,1.0,1.0,False
DMSPC4,10,wilcoxon,98.0,96.0,-2.0,-0.31622776601683794,1.0,1.0,False
